,left,top,width,height
T7_7,138,510,15,10
T7_8,150,510,15,10
T7_9,161,510,15,10
T7_10,173,510,15,10
T8_1,78,522,15,10
T8_2,90,522,15,10
T8_3,101,522,15,10
T8_4,113,522,15,10
T8_5,125,522,15,10
T8_6,138,522,15,10
T8_7,150,522,15,10
T8_8,161,522,15,10
T9_1,90,533,15,10
T9_2,101,533,15,10
T9_3,113,533,15,10
T9_4,125,533,15,10
T9_5,138,533,15,10
T9_6,150,533,15,10
T10_1,101,545,15,10
T10_2,113,545,15,10
T10_3,125,545,15,10
T10_4,138,545,15,10
P1_1,286,440,15,10
P1_2,298,440,15,10
P1_3,310,440,15,10
P1_4,323,440,15,10
P2_1,275,450,15,10
P2_2,286,450,15,10
P2_3,298,450,15,10
P2_4,310,450,15,10
P2_5,323,450,15,10
P2_6,335,450,15,10
P3_1,263,463,15,10
P3_2,275,463,15,10
P3_3,286,463,15,10
P3_4,298,463,15,10
P3_5,310,463,15,10
P3_6,323,463,15,10
P3_7,335,463,15,10
P3_8,346,463,15,10
P4_1,252,475,15,10
P4_2,263,475,15,10
P4_3,275,475,15,10
P4_4,286,475,15,10
P4_5,298,475,15,10
P4_6,310,475,15,10
P4_7,323,475,15,10
P4_8,335,475,15,10
P4_9,346,475,15,10
P4_10,358,475,15,10
P5_1,252,485,15,10
P5_2,263,485,15,10
P5_3,275,485,15,10
P5_4,286,485,15,10
P5_5,298,485,15,10
P5_6,310,485,15,10
P5_7,323,485,15,10
P5_8,335,485,15,10
P5_9,346,485,15,10
P5_10,358,485,15,10
P6_1,252,498,15,10
P6_2,263,498,15,10
P6_3,275,498,15,10
P6_4,286,498,15,10
P6_5,298,498,15,10
P6_6,310,498,15,10
P6_7,323,498,15,10
P6_8,335,498,15,10
P6_9,346,498,15,10
P6_10,358,498,15,10
P7_1,252,510,15,10
P7_2,263,510,15,10
P7_3,275,510,15,10
P7_4,286,510,15,10
P7_5,298,510,15,10
P7_6,310,510,15,10
P7_7,323,510,15,10
P7_8,335,510,15,10
P7_9,346,510,15,10
P7_10,358,510,15,10
P8_1,263,522,15,10
P8_2,275,522,15,10
P8_3,286,522,15,10
P8_4,298,522,15,10
P8_5,310,522,15,10
P8_6,323,522,15,10
P8_7,335,522,15,10
P8_8,346,522,15,10
P9_1,275,533,15,10
P9_2,286,533,15,10
P9_3,298,533,15,10
P9_4,310,533,15,10
P9_5,323,533,15,10
P9_6,335,533,15,10
P10_1,286,545,15,10
P10_2,298,545,15,10
P10_3,310,545,15,10
P10_4,323,545,15,10
